brand,model,fuel,no of owner,yrs,transmission,kms,prices
Audi,A8 L,Diesel,1st,2015.0,Automatic,"41,000","48,95,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"90,000","15,50,000"
Audi,Q3,Diesel,3rd,2013.0,Automatic,"65,000","13,50,000"
Audi,A4,Diesel,2nd,2014.0,Automatic,"46,000","14,50,000"
Audi,Q7,Diesel,1st,2014.0,Automatic,"60,000","25,25,000"
,,,,,,"65,000","15,21,000"
Audi,A6,Diesel,1st,2014.0,Automatic,"63,000","13,25,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"48,000","16,49,999"
Audi,Q3,Diesel,1st,2012.0,Automatic,"62,000","17,75,000"
Audi,Q5,Diesel,1st,2012.0,Automatic,"92,000","14,75,000"
Audi,A4,Petrol,2nd,2006.0,Automatic,"67,000","3,55,001"
Audi,RS5,Petrol,2nd,2011.0,Automatic,"55,000","35,00,000"
Audi,A4,Petrol,1st,2011.0,Automatic,"37,535","9,00,000"
Audi,A6,Petrol,2nd,2012.0,Manual,"42,100","14,00,000"
Audi,Q7,Diesel,2nd,2010.0,Automatic,"114,000","14,50,000"
Audi,A6,Petrol,4+,2013.0,Automatic,8,"15,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"70,000","12,75,000"
Audi,Q7,Diesel,1st,2019.0,Automatic,"11,000","64,00,000"
Audi,A6,Diesel,1st,2016.0,Automatic,"61,000","25,75,000"
Audi,A6,Diesel,1st,2019.0,Automatic,"55,000","36,00,000"
Audi,Q5,Diesel,1st,2017.0,Automatic,"78,000","28,50,000"
Audi,A3,Petrol,,2017.0,Automatic,"20,390","55,00,000"
Audi,Q7,Petrol,2nd,2019.0,Automatic,"17,000","64,75,000"
,,,,,,"65,000","10,09,999"
Audi,A4,Diesel,1st,2014.0,Automatic,"97,000","12,00,000"
Audi,Q3,Diesel,3rd,2014.0,Manual,"45,000","45,000"
Audi,Q7,Diesel,2nd,2016.0,Automatic,"51,000","55,50,000"
Audi,Q5,Diesel,1st,2014.0,Automatic,"29,000","16,50,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"40,627","21,00,000"
Audi,A4,Diesel,2nd,2014.0,Automatic,"84,000","14,50,000"
Audi,TT,Diesel,1st,2013.0,Automatic,"350,000","12,00,000"
,,,,,,"65,000","8,50,000"
Audi,S5,Petrol,,2018.0,Automatic,"12,370","62,00,000"
,,,,,,"65,000","19,50,000"
Audi,A8 L,Petrol,,2020.0,Automatic,"2,600","1,21,40,000"
Audi,A6,Diesel,2nd,2015.0,Automatic,"69,500","24,00,000"
Audi,Q8,Petrol,,2020.0,Automatic,"13,000","1,25,00,000"
Audi,Q5,Diesel,2nd,2012.0,Manual,"120,000","16,50,000"
Audi,A6,Diesel,2nd,2010.0,Manual,"90,000","8,50,000"
Audi,A7,Diesel,3rd,2012.0,Automatic,"61,000","20,00,000"
Audi,Q7,Diesel,1st,2016.0,Automatic,"91,000","31,00,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"98,200","10,99,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"78,000","15,50,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"76,000","1,50,00,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"55,000","9,51,000"
Audi,Q3,Diesel,2nd,2014.0,Manual,"100,000","13,00,000"
Audi,A6,Diesel,1st,2012.0,Manual,"95,000","9,75,000"
Audi,A6,Diesel,1st,2015.0,Automatic,"65,000","15,75,000"
Audi,Q5,Diesel,,2018.0,Automatic,"40,243","51,00,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"33,000","16,50,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"76,000","18,50,000"
Audi,A4,Diesel,1st,2016.0,Automatic,"47,100","22,75,000"
Audi,A4,Diesel,,2009.0,Automatic,"105,000","9,00,000"
,,,,,,"65,000","9,80,700"
Audi,A8,Petrol,,2020.0,Automatic,"2,526","1,50,00,000"
Audi,A3,Diesel,1st,2020.0,Manual,100,"30,500"
Audi,Q3,Diesel,,2018.0,Automatic,"23,700","33,50,000"
Audi,A7,Petrol,1st,2021.0,Manual,0,"19,500"
Audi,Q5,Diesel,1st,2011.0,Automatic,"80,000","13,50,000"
Audi,Q5,Diesel,2nd,2013.0,Automatic,"98,000","15,00,000"
Audi,Q3,Diesel,1st,2015.0,Automatic,"30,400","18,50,000"
Audi,Q5,Petrol,1st,2011.0,Automatic,"58,001","10,50,000"
Audi,A6,Diesel,2nd,2014.0,Automatic,"71,000","15,75,000"
Audi,A3,Petrol,2nd,2009.0,Automatic,"31,000","8,00,000"
Audi,A6,Diesel,1st,2014.0,Automatic,"75,000","19,99,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"76,000","15,00,000"
Audi,Q3,Diesel,1st,2018.0,Automatic,"4,000","31,00,000"
Audi,A6,Diesel,1st,2011.0,Automatic,"80,000","8,00,000"
Audi,Q7,Diesel,1st,2014.0,Automatic,"76,458","23,70,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"55,000","16,00,000"
Audi,Q3,Petrol,1st,2017.0,Automatic,"40,000","26,00,000"
Audi,Q3,Diesel,2nd,2013.0,Automatic,"77,000","13,85,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"65,000","12,70,000"
Audi,A4,Diesel,2nd,2011.0,Automatic,"120,000","11,50,000"
Audi,Q7,Diesel,2nd,2008.0,Automatic,"98,000","12,65,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"130,000","12,50,000"
Audi,A6,Diesel,2nd,2012.0,Automatic,"88,700","17,25,000"
Audi,Q7,Diesel,2nd,2009.0,Automatic,"81,000","13,99,999"
Audi,A4,Diesel,1st,2013.0,Automatic,"34,000","13,85,000"
Audi,Q3,Diesel,1st,2012.0,Automatic,"54,000","12,00,000"
Audi,A4,Diesel,1st,2016.0,Automatic,"81,500","21,75,000"
Audi,Q7,Diesel,2nd,2014.0,Automatic,"78,000","16,96,000"
Audi,Q5,Diesel,2nd,2014.0,Automatic,"55,656","16,50,000"
Audi,A4,Diesel,,2010.0,Manual,"87,500","10,50,000"
Audi,Q5,Diesel,,2018.0,Automatic,"30,000","45,00,000"
Audi,A6,Petrol,3rd,2008.0,Automatic,"68,000","5,25,000"
Audi,Q5,Diesel,1st,2012.0,Automatic,"90,000","14,75,000"
Audi,Q5,Petrol,3rd,2009.0,Automatic,"62,000","10,00,000"
Audi,A4,Diesel,1st,2016.0,Automatic,"52,000","20,00,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"130,000","14,75,000"
Audi,Q5,Diesel,1st,2014.0,Automatic,"19,000","29,00,000"
Audi,Q3,Diesel,1st,2016.0,Automatic,"43,000","21,00,000"
Audi,A4,Diesel,2nd,2009.0,Automatic,"98,000","9,25,000"
Audi,Q3,Diesel,,2015.0,Manual,"12,861","23,50,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"75,000","10,50,000"
Audi,Q7,Diesel,1st,2012.0,Automatic,"71,000","16,99,000"
Audi,A4,Diesel,2nd,2014.0,Automatic,"154,883","14,00,000"
Audi,A4,Diesel,1st,2011.0,Automatic,"91,000","7,99,000"
Audi,Q7,Diesel,2nd,2018.0,Automatic,"58,000","51,00,000"
Audi,Q5,Petrol,1st,2010.0,Automatic,"67,000","11,00,000"
Audi,Q5,Diesel,1st,2013.0,Automatic,"80,000","15,75,000"
Audi,Q5,Diesel,1st,2017.0,Automatic,"27,000","34,00,000"
Audi,Q3,Petrol,1st,2017.0,Automatic,"41,000","26,50,000"
Audi,Q3,Diesel,1st,2014.0,Automatic,"42,000","21,50,000"
Audi,A4,Diesel,1st,2015.0,Automatic,"95,000","14,50,000"
Audi,A3,Electric,1st,2021.0,Automatic,0,"15,000"
Audi,A6,Petrol,2nd,2020.0,Manual,50,"30,000"
Audi,A4,Petrol,3rd,2010.0,Automatic,"70,000","6,50,000"
Audi,A4,Diesel,2nd,2008.0,Automatic,"119,000","7,99,999"
